,Entity,Code,Year,Number of executions (Amnesty International),Deaths - Meningitis - Sex: Both - Age: All Ages (Number),Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Deaths - Intestinal infectious diseases - Sex: Both - Age: All Ages (Number),Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),Terrorism (deaths),Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),Deaths - Alzheimer disease and other dementias - Sex: Both - Age: All Ages (Number),Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),Deaths - Hepatitis - Sex: Both - Age: All Ages (Number),Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),Deaths - Parkinson disease - Sex: Both - Age: All Ages (Number),"Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",Deaths - Malaria - Sex: Both - Age: All Ages (Number),Deaths - Drowning - Sex: Both - Age: All Ages (Number),Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),Deaths - Road injuries - Sex: Both - Age: All Ages (Number),Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),Deaths - Self-harm - Sex: Both - Age: All Ages (Number),Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),Deaths - Poisonings - Sex: Both - Age: All Ages (Number)
5667,Sub-Saharan Africa,,2013,,168584.7221291335,720395.19566247,22717.3801524,153398.71271677836,3857.0,809974.9597969499,82845.59646189923,93486.71959376015,148829.28076814883,149350.7457571869,272689.935661755,17012.410361178427,463093.3701102726,11858.173939424221,25727.356153608413,630904.7261596675,43022.728148944436,63938.79719622638,1026798.3521563712,6528.896757273987,411416.0481474645,157144.77689540884,92799.11010897438,733434.3940388658,9042.30621815115,856.4420864260858,595289.5462631312,6068.251536668206,157734.09478166586,57948.180532636856,19883.86691907037,122618.67291820221,10897.604813719636
5668,Sub-Saharan Africa,,2014,,169374.92980151865,714407.2925243104,22803.7512411,148695.87363766212,13351.0,824615.7928579744,85782.91831176176,95561.91287690536,151046.03429362795,150154.97443843356,276966.87750591175,16977.900412671203,477231.97131944523,12244.658381705627,25777.48737824356,616057.1908768979,42898.67186138937,65419.60617365537,934943.5353587064,6836.248411001991,409433.89567795023,157740.63013350582,91464.59922894076,727978.5949300289,9345.814839766948,473.10031698852447,575566.2941142569,6164.353428710278,152945.30313786207,58992.311709643436,28379.956176081763,125722.04418821279,10977.194735345
5669,Sub-Saharan Africa,,2015,,167837.35776601706,708442.4504890441,22875.0470532,144609.72354757786,10763.0,842166.8426040246,88989.59369221797,97994.33954471926,153820.73298175482,151310.28556954055,281646.6307060824,16999.787257056898,492874.4919261435,12651.549469567712,26079.176067417342,582834.2777130271,42738.69900949042,64652.239523248965,859847.880007282,7201.808979124128,407526.6503074455,159035.9797634716,90577.38843872368,719485.0619852827,9674.207548062535,952.9141890633873,558557.0527795781,6264.094322146858,148800.7066894452,60337.43483638487,8597.898209891016,129494.47680936212,11084.876661232971
5670,Sub-Saharan Africa,,2016,,169231.55835606594,705132.4112289796,22715.6697315,140523.8128665756,6652.0,860263.3084519216,92378.16463866658,100535.0066464991,157022.68263748224,153457.59391391007,287673.7663450215,17067.04568571133,509695.1629018279,13079.133126992925,26079.116336286934,547147.6377786894,42613.18862557172,65499.727187651864,786035.9699827083,7622.86116043024,404583.19849864993,160445.91239444748,90069.09666531012,708759.4552704238,10053.756192424173,717.2328174817488,550771.4329198175,6333.837886599982,144671.2969380853,61977.99849063737,14354.8911737134,133187.89141595116,11184.152160247293
5671,Sub-Saharan Africa,,2017,,166060.7944507761,695145.1403138224,,137179.41212690598,6712.0,874112.7686226376,94615.65678948784,101669.98031040699,158914.26002758188,157558.68916522927,293784.413784337,17078.144353701642,521936.4999978608,13398.733256905334,25896.501206174238,543288.740894998,41752.98939163357,64264.5812057325,711943.1181804918,8012.910251514092,401163.71340798686,161647.41156846142,89795.20235208742,697698.12257026,10382.143467491696,1216.1684388714475,552161.5061880386,6340.2087260214075,141264.300682719,63753.68922172005,22846.45262731332,134693.9238043993,11194.22909399193
5756,Switzerland,CHE,1990,,142.87182539488163,2250.487142722219,0.329708511952,51.33671806397404,1.0,26276.12072459313,4283.060641397693,399.6499926626835,2481.6339321904707,805.9460619408462,1732.4808229265452,17.06554587011306,14731.430365413127,533.8301562389588,47.65642205692521,0.0,90.7796321045829,103.80539237792021,176.19042117377927,326.0183352225361,102.49648445793785,1042.1898899645064,5.2438193286780255,222.8951377090643,265.6096290747821,5.000000005475554,74.5153114715232,22.82154839983735,114.00367948790266,1778.1669780858554,0.9999999999120648,1381.3373265374753,16.17856220159083
5757,Switzerland,CHE,1991,,139.82830346242545,2244.116914813133,0.33128585493900004,49.62416676666817,0.0,26278.759340940982,4402.324983380867,413.88059661085487,2525.511759151881,811.4303674753592,1753.457722952689,20.52460439848223,14979.536363583991,539.9799732171192,49.956452235822326,0.0,94.31203192694491,110.13918458700584,200.70252251201083,351.75556471608314,97.2834816489597,1027.215343173,4.934893639546651,217.3287012238563,274.838829661791,0.0,75.02025012209639,23.24201403802964,109.30195205282378,1838.8001259743928,0.0,1409.5313629336526,16.508846866452924
5758,Switzerland,CHE,1992,,131.98876899112196,2233.7919569775304,0.3285595907,46.323322576293144,6.0,25750.63578423853,4507.280530619444,413.8575650580786,2523.5782942530604,810.7667661315373,1774.9414157305948,24.76427355319129,14983.063201706544,539.5106963185801,51.47048661125179,0.0,94.77726180859669,112.35719508600084,230.48534358629558,359.04037483144094,90.44667916234793,963.1218054760104,5.8475121781589445,210.6866480871734,274.58841068154226,0.0,76.11323331680578,22.706250430553016,100.68169946687657,1808.6738984383785,6.000000031987603,1410.1954883637502,16.156134489966107
5759,Switzerland,CHE,1993,,123.7096167300226,2215.9240147283,0.327140004739,42.68986276060014,,25394.500000481545,4654.116665436722,428.57942153432646,2537.49217018904,811.3487154460023,1810.3890378314359,27.26836794046631,15011.468324858102,543.1500954998771,51.29562688546676,0.0,90.28338332189743,113.47233059589823,269.64241799905153,359.03124093542567,82.87126165250602,884.3853213613397,5.976470910245925,194.135366491008,271.8306066176162,1.9999999989833883,71.74880390333162,22.14252626963316,91.79258969075592,1764.2805483638385,0.0,1419.3385141664,15.6094094379785
5760,Switzerland,CHE,1994,,112.13397949318492,2116.6956692253984,0.328617690358,37.699482230443245,,25356.0446994402,4841.281583307508,455.99051111394823,2599.252583350145,830.8901263552167,1882.6787936388125,33.40176329352952,15294.909768812244,554.062533891856,52.39949908910057,0.0,90.87080289896544,110.95111684820887,326.44250404146027,367.6596925414037,79.34651131165249,840.4445219906197,6.418823826238651,184.99857983032157,276.9851132029777,0.0,67.85405458606685,22.027748528190717,81.23443608460708,1766.936664652226,0.0,1447.632780958368,15.54664824996396
