Entity,1990death_share,1991death_share,1992death_share,1993death_share,1994death_share,1995death_share,1996death_share,1997death_share,1998death_share,1999death_share,2000death_share,2001death_share,2002death_share,2003death_share,2004death_share,2005death_share,2006death_share,2007death_share,2008death_share,2009death_share,2010death_share,2011death_share,2012death_share,2013death_share,2014death_share,2015death_share,2016death_share,2017death_share,ISO_A3
Rwanda,1.4035614485651025,2.019970123835049,2.7902694650358337,3.390597361402501,0.6969806789954262,5.013203156216957,6.567190472144377,7.475979410329765,8.817987307023534,10.166664666137176,11.28228062194277,12.577966658060848,13.92451872740233,15.115196485712795,15.94137907858254,16.02359927950966,15.289764135057194,14.13366124369156,12.673448856908523,11.499357057678598,10.04277970887136,8.717752051591038,7.714133995889911,6.850677299934622,6.072780962765787,5.422348217203254,4.772664282658297,4.350740474118689,RWA
Saint Lucia,0.8546806153179529,0.575531911924931,0.709869566195153,0.8452355781046114,0.981382084574834,0.9409554419184112,1.0942813724968894,0.856756320486161,0.8400540642440866,1.0407420656577844,1.218049646194704,1.2324698914094294,1.1428818241788108,1.107304073704361,1.025413686602642,0.8879407730137217,0.8279617075187854,0.8271242724845828,0.7176856133789697,0.7144581272078274,0.7512687565026486,0.7346683847706161,0.6891011266734749,0.6654241597723745,0.8072198800597677,0.6589781050995387,0.620625551988358,0.589186058879005,LCA
Saint Vincent and the Grenadines,2.137111083965947,1.5799556438059918,1.8047213992682585,2.1216051329733423,2.499583936312074,2.824700212949439,3.7901310637124297,3.190920553396998,2.9713547900525383,3.65577868897772,4.624733536931177,4.064454633299638,4.059484635346503,3.682892459263365,3.605561614615126,3.2762518701152232,3.272737817843649,2.960187069045967,2.5880639672403905,2.5272558148490005,2.5237080765655016,2.163757500711569,2.0522194455418905,2.0635402749227505,2.488343702310285,2.6449957036774125,2.118652665001585,2.0048968411722043,VCT
Samoa,0.2084043099267285,0.2704037213242717,0.3385054232273669,0.3953525006722624,0.4417505896786648,0.4776183250093625,0.5014659291789211,0.5251682729734467,0.5436328775566811,0.5548178356072673,0.5628274458374387,0.567901065642234,0.5724115679723095,0.574949052651435,0.5786032960921883,0.5807491202700407,0.5950492925106002,0.5942787222825501,0.6177506607295682,0.5525911168653481,0.6343562796339504,0.627512295772324,0.6208363114385513,0.6564499840746854,0.7056792786986998,0.7556165399179035,0.8124857316998642,0.8438486576440468,WSM
Sao Tome and Principe,0.0229276369326808,0.0293155458088646,0.0365215710089117,0.0436539434697213,0.0505528276647495,0.0570336406771259,0.0624153744405638,0.0666461164236984,0.0701676293224578,0.0738546725476721,0.0780274344243933,0.0824022479844303,0.0867383734828939,0.0911330330132808,0.0958521278915118,0.0875676281624255,0.0660212848199423,0.0413312350514574,0.0357273117747153,0.03615408755975,0.030883594444919,0.0262033455665637,0.0223008976520985,0.0203729586754677,0.0181030309390553,0.018737280723236,0.0190006236400893,0.0195139681631144,STP
Saudi Arabia,0.101118171747342,0.1187378808257604,0.1385839917177325,0.1594251633033119,0.1812054468562947,0.2039162417511902,0.2280041169487618,0.2523622724200021,0.2798066431145382,0.3080360622112105,0.3371014239036146,0.3687066767130115,0.390514601630358,0.4141119664355108,0.4361667462410739,0.4513333991590669,0.4636865245736541,0.4776538105309921,0.4872123726306065,0.4935118582519432,0.5007082078663242,0.5114322751871869,0.5224297446189365,0.5329578349434815,0.5437367716375697,0.5373265927870091,0.5521075337227566,0.557420573453059,SAU
Scotland,0.063669049580336,0.108114348916635,0.1035516115605041,0.1232042013951738,0.150994745259534,0.1620576531047756,0.123739544924863,0.0824835802321611,0.0553122768161011,0.0558636202301923,0.054168854306289,0.0629864462112562,0.0588231446696028,0.0698099924997996,0.0528950144243439,0.0631034986393506,0.0578807309004995,0.0649671204598787,0.058701534720158,0.0638674522583676,0.0645457347339276,0.0517674504090054,0.0497832177310903,0.0516604797859487,0.0454783354819549,0.046390657726273,0.0479491482669366,0.0430738694522131,
Senegal,0.2393452679240259,0.3454989229622046,0.4761679114101967,0.6346833408124366,0.8200674591756169,1.0267305518609515,1.2618631253164287,1.5301415763947237,1.8065577889842712,2.0996891201011296,2.4217606205780835,2.7362923345186485,3.010136098625303,3.348621053219535,3.612168211061612,3.827666369587173,4.020362433272634,3.90884932606166,3.5596985755163866,3.38426672780502,3.198898921202694,3.047286920171919,3.035550212657323,2.9665924854461365,2.760520905532455,2.4774016754385797,2.2338174604657035,2.062537141273262,SEN
Serbia,0.0319868112327486,0.0405312959154027,0.0413249961628569,0.0428967090193199,0.0447212262356177,0.0440889174682658,0.0440299275881421,0.0428469442668067,0.0390413611042985,0.0393677205788324,0.0432476903644773,0.0448159820558986,0.0493421994637403,0.0565140582764917,0.0576622072321521,0.0502761684774812,0.0483667943134043,0.0492675694955484,0.048073589068869,0.0501747802125324,0.0522844003520018,0.0599420256720302,0.0669211898292238,0.069521250473659,0.0665068423659645,0.0642407100010596,0.0624152479744192,0.0586002731426048,SRB
Seychelles,0.0712063823686171,0.1146277239815348,0.1762427748956595,0.2523782611124476,0.339177696447165,0.426453369183134,0.5005575131579996,0.5556178114882396,0.6064782863952003,0.6485117744661085,0.6789039860694267,0.7024978772223738,0.7237061914606652,0.7383108841280615,0.7418852563789993,0.7523444066338125,0.7587616680227205,0.7642512513310997,0.7586346865413143,0.7533553842376928,0.7553304896270386,0.7589526907279966,0.7618774159180474,0.7682791195249119,0.7689077510391985,0.7644093339917414,0.762626110018814,0.7597020595450483,SYC
