Entity,1990_death_rate,1991_death_rate,1992_death_rate,1993_death_rate,1994_death_rate,1995_death_rate,1996_death_rate,1997_death_rate,1998_death_rate,1999_death_rate,2000_death_rate,2001_death_rate,2002_death_rate,2003_death_rate,2004_death_rate,2005_death_rate,2006_death_rate,2007_death_rate,2008_death_rate,2009_death_rate,2010_death_rate,2011_death_rate,2012_death_rate,2013_death_rate,2014_death_rate,2015_death_rate,2016_death_rate,2017_death_rate,ISO_A3
Slovakia,0.0186503091869281,0.0276130446460284,0.0370834053707616,0.0472821789061227,0.057351301382522,0.066702547301813,0.0761459783823343,0.0838002497756637,0.0896124110006688,0.0946965651457996,0.094672959649687,0.1001786117880517,0.1011151253595678,0.1068662795730782,0.1004097251798625,0.0811217187031534,0.0689481819379546,0.0692191936733947,0.0657270848469995,0.0698928262018868,0.0691666395535212,0.0733107483674111,0.0760732040470749,0.0737085533264566,0.0685874445537089,0.0682190848079397,0.0676113356364434,0.0687032397994125,SVK
Slovenia,0.229889593681325,0.1970729788451869,0.1444163635847316,0.239597251855657,0.1611332850865501,0.4306702257349824,0.1526728067684246,0.1357558445902539,0.4623923995317145,0.3040669313330087,0.2074180915170838,0.3757838298117989,0.1697022051965198,0.1229460713711994,0.1167188918299934,0.1661113390804979,0.040534983055322,0.170418217535438,0.2004581746659423,0.0706273672835706,0.0589401988558684,0.0709204718648664,0.098191649773033,0.2051019120844598,0.1608640865640056,0.1565319472406072,0.1129679672943815,0.1060282043193409,SVN
Solomon Islands,1.3104063682629976,1.7868458374685632,2.261263257320421,2.6600913505225376,2.974597916996017,3.202583955438621,3.347892132796193,3.438792576852388,3.49477133303268,3.5284132313323835,3.532212324481193,3.5170663693775954,3.496032153897408,3.4851480503564063,3.483507323930916,3.501118860899357,3.5487088712507733,3.571012752410829,3.683381181074041,3.815721864130473,3.850203894152066,3.870732995226512,3.923336577446483,4.085544527680304,4.341254074696631,4.613648832046199,4.926782258353936,5.181522082743205,SLB
Somalia,2.527920671982152,3.560362017109081,4.980213325564053,6.809405764544547,8.986865354616485,11.476282696970168,14.301578957233552,17.301526494467637,20.403677338356506,23.54746833524094,26.637563980892303,29.38465426515873,31.624355693724063,33.44187658394185,34.79032404930467,35.72688243114227,35.935533502584384,35.57177830464266,34.54095622756828,33.179112768622495,31.59546018580547,29.46020160830128,27.366449604125847,25.338898425039023,23.60248683948049,21.963686800967334,20.38526015285431,17.636488824091515,SOM
South Africa,2.104080281878206,4.713080218993656,9.729141430159212,18.858020772240437,34.12381414170399,57.6212910967066,91.08834415710604,135.45201972677273,190.78139378159125,255.8983872430032,327.9316300835791,403.141946958343,476.5005697003464,543.5836015449294,600.4393492284722,643.9480979936338,670.9331539524921,679.5094606125713,671.4489781093802,645.8187994365023,599.9333747163238,542.0694465102509,483.1973261551137,424.6423045065663,370.367232282784,333.774397300804,296.1218336628353,238.68249925220417,ZAF
South Asia,0.070853213629534,0.1384592931788424,0.3024638474693135,0.5517054681094097,0.9430744830666196,1.5657239338105604,2.3740300020333347,3.495168824581919,4.826348716442842,6.3303938402428175,7.82253072727043,9.216745474540096,10.463721952144656,11.41827377375671,12.079023535071764,12.450530585199422,12.4993274688027,11.94613251650888,11.112741402372595,10.174994230187094,8.984576866381648,7.901496735882809,6.95023095175858,6.148276100675413,5.3392643544381615,4.582073763391985,3.9428325316355473,3.447220429005799,
South Korea,0.1903269720885884,0.185937222811915,0.1962516885767072,0.1907803935858807,0.1931506697886985,0.103863823139624,0.1253639262783838,0.1118131621880509,0.1660922402502936,0.149176678475099,0.1363107597811259,0.1419883692846455,0.1784747854404454,0.1669190998731707,0.1771349208406237,0.1948764731475125,0.1992143087261316,0.2238401483230647,0.2224754687700511,0.2240256242527718,0.2613441230104524,0.258129614736249,0.252807411738388,0.2307750740871612,0.2381848789860134,0.198338235934182,0.2121626977031374,0.2078452170108859,KOR
South Sudan,10.06724217982669,13.799422168234864,18.31597798299411,23.68691683942165,29.85422373649031,36.60524475768373,43.71567684537475,51.0577234204709,58.30533825787506,65.21779847163184,71.68201405697931,77.29869662687543,82.13895745083002,86.04866853540311,88.98989246312833,90.9007024352023,91.73039627795976,91.68475389035486,90.71611124552363,88.45647529664005,85.27313421218294,81.81774058003987,78.38473714276559,74.39670283101418,67.55459633942499,59.58933109834229,52.38974748000644,47.33985215270285,SSD
Southeast Asia,0.627506319352462,1.1549736678311666,2.3287862864104407,3.3541085600929605,4.527720198428932,5.870155485322267,7.218960253963007,8.481349333323259,9.675461742471088,10.839726140853209,11.692649171085929,12.349504539052646,12.782277918503349,12.925313120586363,12.594191430465736,11.74581928229882,10.930379444897635,10.25642088813616,9.656019598479675,9.38443072676477,8.894846534669668,8.728813577336775,8.628266830345556,8.703608548396017,8.47677548751799,8.230998376337013,7.729915505380891,7.299458383936521,
"Southeast Asia, East Asia, and Oceania",0.379439306430604,0.5691431357208564,0.9149780734704958,1.220293230153859,1.5487738176141272,1.9448350462845931,2.3117974749212284,2.6597786413703486,3.0138260510227703,3.3636169058554537,3.633900386446884,3.8821902141201776,4.075623612850614,4.182746904401864,4.1618901269510005,4.0655356721480125,3.9315563249507104,3.783048777922629,3.6783331529115593,3.649590857023684,3.502625771403879,3.45498422920882,3.3741118378728667,3.4220695073016514,3.5170647960373302,3.640479963524725,3.639667749052248,3.576828454218727,
